sslc01_003_s001_b.mp4	sslc01_003_s002_b.mp4
Artikulator_DH S1	sslc01_003/artikulator_dh_s1.tsv	416
Artikulator_DH S2	sslc01_003/artikulator_dh_s2.tsv	623
Artikulator_NonDH S1	sslc01_003/artikulator_nondh_s1.tsv	4
Artikulator_NonDH S2	sslc01_003/artikulator_nondh_s2.tsv	10
Betydelse_DH S1	sslc01_003/betydelse_dh_s1.tsv	3
Betydelse_DH S2	sslc01_003/betydelse_dh_s2.tsv	7
Betydelse_NonDH S1	sslc01_003/betydelse_nondh_s1.tsv	4
Betydelse_NonDH S2	sslc01_003/betydelse_nondh_s2.tsv	1
Glosa_DH S1	sslc01_003/glosa_dh_s1.tsv	430
Glosa_DH S2	sslc01_003/glosa_dh_s2.tsv	633
Glosa_DH_extra S1	sslc01_003/glosa_dh_extra_s1.tsv	428
Glosa_DH_extra S2	sslc01_003/glosa_dh_extra_s2.tsv	639
Glosa_DH_lemma S1	sslc01_003/glosa_dh_lemma_s1.tsv	13
Glosa_DH_lemma S2	sslc01_003/glosa_dh_lemma_s2.tsv	17
Glosa_DH_ref S1	sslc01_003/glosa_dh_ref_s1.tsv	12
Glosa_DH_ref S2	sslc01_003/glosa_dh_ref_s2.tsv	39
Glosa_NonDH S1	sslc01_003/glosa_nondh_s1.tsv	6
Glosa_NonDH S2	sslc01_003/glosa_nondh_s2.tsv	29
Glosa_NonDH_lemma S2	sslc01_003/glosa_nondh_lemma_s2.tsv	1
Kommentar_mun S1	sslc01_003/kommentar_mun_s1.tsv	15
Kommentar_mun S2	sslc01_003/kommentar_mun_s2.tsv	3
Munrörelse S1	sslc01_003/munrorelse_s1.tsv	266
Munrörelse S2	sslc01_003/munrorelse_s2.tsv	3
Översättning S1	sslc01_003/oversattning_s1.tsv	65
Översättning S2	sslc01_003/oversattning_s2.tsv	76
