5.29	0.16	STARTA[VB]
31.35	0.13	LISTBOJ.EN[BOJ]
31.64	0.1	LISTBOJ.TVÅ[BOJ]
43.75	0.2	LISTBOJ.EN[BOJ]
73.12	1.68	GREPP(A)@hd
105.64	0.115	LISTBOJ.EN[BOJ]
105.81	1.92	LISTBOJ.EN_TVÅ[BOJ]
107.755	4.615	LISTBOJ.TVÅ_TRE[BOJ]
163.55	0.19	PEK>pekf@z[PEK]
163.79	0.11	AVGRÄNS@z[BOJ]
170.41	1.76	LISTBOJ.EN[BOJ]
172.33	0.8	LISTBOJ.EN_TVÅ[BOJ]
175.17	1.68	LISTBOJ.EN[BOJ]
177.01	0.32	LISTBOJ.TVÅ[BOJ]
195.62	0.32	LISTBOJ.EN[BOJ]
201.53	0.38	LISTBOJ.EN[BOJ]
202.07	0.28	LISTBOJ.TVÅ[BOJ]
204.05	0.12	LISTBOJ.TVÅ[BOJ]
204.33	1.8	LISTBOJ.TRE[BOJ]
206.67	0.44	LISTBOJ.TRE[BOJ]
211.01	0.08	PRO1[PN]
211.41	0.24	OMÖJLIG[AB]
211.73	0.32	HA*INTE[VB]
212.13	0.08	PRO1[PN]
216.93	1.08	HINDRA(Lbt)@hd
253.39	0.57	REC@b*TRYCKA-KNAPP[VB]
273.28	0.23	TEMABOJ[BOJ]
315.19	0.4	GREPPHÅLLA(S)[VBAV]
355.51	0.16	FÖRSTÅ(L)[VB]
